symptom,drug,timing
悪寒,バファリンA,痛くなりそうなとき・熱が出そうなとき
悪寒,バファリンA,痛くなったとき・熱が出始めたとき
悪寒,バファリンA,痛くなったとき・熱が出始めたとき
悪寒,バファリンA,痛くなったとき・熱が出始めたとき
悪寒,バファリンA,痛くなったとき・熱が出始めたとき
悪寒,バファリンA,ひどくはなっていないが、痛みや熱がひかないとき
悪寒,バファリンA,ひどくはなっていないが、痛みや熱がひかないとき
悪寒,バファリンA,ひどくはなっていないが、痛みや熱がひかないとき
悪寒,バファリンA,痛みがひどくなりそうなとき・熱が更に上がりそうなとき
悪寒,バファリンA,痛みがひどくなりそうなとき・熱が更に上がりそうなとき
悪寒,バファリンA,痛みが我慢できなくなったとき・熱が高くなったとき
悪寒,バファリンA,痛みが我慢できなくなったとき・熱が高くなったとき
悪寒,バファリンA,痛みが我慢できなくなったとき・熱が高くなったとき
悪寒,バファリンA,痛みが我慢できなくなったとき・熱が高くなったとき
悪寒,バファリンA,痛みが我慢できなくなったとき・熱が高くなったとき
悪寒,バファリンA,その他
悪寒,イブA錠,痛くなりそうなとき・熱が出そうなとき
悪寒,イブA錠,痛くなりそうなとき・熱が出そうなとき
悪寒,イブA錠,痛くなりそうなとき・熱が出そうなとき
悪寒,イブA錠,痛くなったとき・熱が出始めたとき
悪寒,イブA錠,痛くなったとき・熱が出始めたとき
悪寒,イブA錠,痛くなったとき・熱が出始めたとき
悪寒,イブA錠,痛くなったとき・熱が出始めたとき
悪寒,イブA錠,痛くなったとき・熱が出始めたとき
悪寒,イブA錠,ひどくはなっていないが、痛みや熱がひかないとき
悪寒,イブA錠,ひどくはなっていないが、痛みや熱がひかないとき
悪寒,イブA錠,ひどくはなっていないが、痛みや熱がひかないとき
悪寒,イブA錠,ひどくはなっていないが、痛みや熱がひかないとき
悪寒,イブA錠,ひどくはなっていないが、痛みや熱がひかないとき
悪寒,イブA錠,ひどくはなっていないが、痛みや熱がひかないとき
悪寒,イブA錠,痛みがひどくなりそうなとき・熱が更に上がりそうなとき
悪寒,イブA錠,痛みがひどくなりそうなとき・熱が更に上がりそうなとき
悪寒,イブA錠,痛みがひどくなりそうなとき・熱が更に上がりそうなとき
悪寒,イブA錠,痛みがひどくなりそうなとき・熱が更に上がりそうなとき
悪寒,イブA錠,痛みがひどくなりそうなとき・熱が更に上がりそうなとき
悪寒,イブA錠,痛みがひどくなりそうなとき・熱が更に上がりそうなとき
悪寒,イブA錠,痛みが我慢できなくなったとき・熱が高くなったとき
悪寒,イブA錠,痛みが我慢できなくなったとき・熱が高くなったとき
悪寒,イブA錠,痛みが我慢できなくなったとき・熱が高くなったとき
悪寒,イブA錠,痛みが我慢できなくなったとき・熱が高くなったとき
悪寒,新セデス錠,痛くなりそうなとき・熱が出そうなとき
悪寒,新セデス錠,痛くなったとき・熱が出始めたとき
悪寒,新セデス錠,痛くなったとき・熱が出始めたとき
悪寒,新セデス錠,痛くなったとき・熱が出始めたとき
悪寒,新セデス錠,痛くなったとき・熱が出始めたとき
悪寒,新セデス錠,痛くなったとき・熱が出始めたとき
