symptom,drug,timing,Freq
悪寒,バファリンA,痛くなりそうなとき・熱が出そうなとき,1
悪寒,バファリンA,痛くなったとき・熱が出始めたとき,4
悪寒,バファリンA,ひどくはなっていないが、痛みや熱がひかないとき,3
悪寒,バファリンA,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,2
悪寒,バファリンA,痛みが我慢できなくなったとき・熱が高くなったとき,5
悪寒,バファリンA,その他,1
悪寒,イブA錠,痛くなりそうなとき・熱が出そうなとき,3
悪寒,イブA錠,痛くなったとき・熱が出始めたとき,5
悪寒,イブA錠,ひどくはなっていないが、痛みや熱がひかないとき,6
悪寒,イブA錠,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,6
悪寒,イブA錠,痛みが我慢できなくなったとき・熱が高くなったとき,4
悪寒,イブA錠,その他,0
悪寒,新セデス錠,痛くなりそうなとき・熱が出そうなとき,1
悪寒,新セデス錠,痛くなったとき・熱が出始めたとき,5
悪寒,新セデス錠,ひどくはなっていないが、痛みや熱がひかないとき,3
悪寒,新セデス錠,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,3
悪寒,新セデス錠,痛みが我慢できなくなったとき・熱が高くなったとき,4
悪寒,新セデス錠,その他,0
悪寒,セデスハイ,痛くなりそうなとき・熱が出そうなとき,1
悪寒,セデスハイ,痛くなったとき・熱が出始めたとき,5
悪寒,セデスハイ,ひどくはなっていないが、痛みや熱がひかないとき,4
悪寒,セデスハイ,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,4
悪寒,セデスハイ,痛みが我慢できなくなったとき・熱が高くなったとき,6
悪寒,セデスハイ,その他,0
悪寒,セデスV,痛くなりそうなとき・熱が出そうなとき,5
悪寒,セデスV,痛くなったとき・熱が出始めたとき,9
悪寒,セデスV,ひどくはなっていないが、痛みや熱がひかないとき,3
悪寒,セデスV,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,5
悪寒,セデスV,痛みが我慢できなくなったとき・熱が高くなったとき,4
悪寒,セデスV,その他,0
悪寒,セデスキュア,痛くなりそうなとき・熱が出そうなとき,3
悪寒,セデスキュア,痛くなったとき・熱が出始めたとき,7
悪寒,セデスキュア,ひどくはなっていないが、痛みや熱がひかないとき,4
悪寒,セデスキュア,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,3
悪寒,セデスキュア,痛みが我慢できなくなったとき・熱が高くなったとき,3
悪寒,セデスキュア,その他,1
悪寒,ノーシン錠,痛くなりそうなとき・熱が出そうなとき,4
悪寒,ノーシン錠,痛くなったとき・熱が出始めたとき,10
悪寒,ノーシン錠,ひどくはなっていないが、痛みや熱がひかないとき,2
悪寒,ノーシン錠,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,5
悪寒,ノーシン錠,痛みが我慢できなくなったとき・熱が高くなったとき,6
悪寒,ノーシン錠,その他,0
悪寒,ノーシンピュア,痛くなりそうなとき・熱が出そうなとき,0
悪寒,ノーシンピュア,痛くなったとき・熱が出始めたとき,6
悪寒,ノーシンピュア,ひどくはなっていないが、痛みや熱がひかないとき,1
悪寒,ノーシンピュア,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,2
悪寒,ノーシンピュア,痛みが我慢できなくなったとき・熱が高くなったとき,3
悪寒,ノーシンピュア,その他,0
悪寒,ナロンエース,痛くなりそうなとき・熱が出そうなとき,1
悪寒,ナロンエース,痛くなったとき・熱が出始めたとき,3
悪寒,ナロンエース,ひどくはなっていないが、痛みや熱がひかないとき,1
悪寒,ナロンエース,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,4
悪寒,ナロンエース,痛みが我慢できなくなったとき・熱が高くなったとき,3
悪寒,ナロンエース,その他,0
悪寒,リングルアイビー,痛くなりそうなとき・熱が出そうなとき,1
悪寒,リングルアイビー,痛くなったとき・熱が出始めたとき,3
悪寒,リングルアイビー,ひどくはなっていないが、痛みや熱がひかないとき,2
悪寒,リングルアイビー,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,3
悪寒,リングルアイビー,痛みが我慢できなくなったとき・熱が高くなったとき,5
悪寒,リングルアイビー,その他,1
発熱,バファリンA,痛くなりそうなとき・熱が出そうなとき,1
発熱,バファリンA,痛くなったとき・熱が出始めたとき,8
発熱,バファリンA,ひどくはなっていないが、痛みや熱がひかないとき,7
発熱,バファリンA,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,6
発熱,バファリンA,痛みが我慢できなくなったとき・熱が高くなったとき,12
発熱,バファリンA,その他,1
発熱,イブA錠,痛くなりそうなとき・熱が出そうなとき,2
発熱,イブA錠,痛くなったとき・熱が出始めたとき,11
発熱,イブA錠,ひどくはなっていないが、痛みや熱がひかないとき,10
発熱,イブA錠,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,11
発熱,イブA錠,痛みが我慢できなくなったとき・熱が高くなったとき,10
発熱,イブA錠,その他,0
発熱,新セデス錠,痛くなりそうなとき・熱が出そうなとき,2
発熱,新セデス錠,痛くなったとき・熱が出始めたとき,18
発熱,新セデス錠,ひどくはなっていないが、痛みや熱がひかないとき,7
発熱,新セデス錠,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,6
発熱,新セデス錠,痛みが我慢できなくなったとき・熱が高くなったとき,16
発熱,新セデス錠,その他,1
発熱,セデスハイ,痛くなりそうなとき・熱が出そうなとき,0
発熱,セデスハイ,痛くなったとき・熱が出始めたとき,12
発熱,セデスハイ,ひどくはなっていないが、痛みや熱がひかないとき,7
発熱,セデスハイ,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,6
発熱,セデスハイ,痛みが我慢できなくなったとき・熱が高くなったとき,12
発熱,セデスハイ,その他,0
発熱,セデスV,痛くなりそうなとき・熱が出そうなとき,6
発熱,セデスV,痛くなったとき・熱が出始めたとき,22
発熱,セデスV,ひどくはなっていないが、痛みや熱がひかないとき,16
発熱,セデスV,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,12
発熱,セデスV,痛みが我慢できなくなったとき・熱が高くなったとき,19
発熱,セデスV,その他,1
発熱,セデスキュア,痛くなりそうなとき・熱が出そうなとき,6
発熱,セデスキュア,痛くなったとき・熱が出始めたとき,14
発熱,セデスキュア,ひどくはなっていないが、痛みや熱がひかないとき,8
発熱,セデスキュア,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,13
発熱,セデスキュア,痛みが我慢できなくなったとき・熱が高くなったとき,15
発熱,セデスキュア,その他,1
発熱,ノーシン錠,痛くなりそうなとき・熱が出そうなとき,4
発熱,ノーシン錠,痛くなったとき・熱が出始めたとき,14
発熱,ノーシン錠,ひどくはなっていないが、痛みや熱がひかないとき,8
発熱,ノーシン錠,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,6
発熱,ノーシン錠,痛みが我慢できなくなったとき・熱が高くなったとき,12
発熱,ノーシン錠,その他,0
発熱,ノーシンピュア,痛くなりそうなとき・熱が出そうなとき,3
発熱,ノーシンピュア,痛くなったとき・熱が出始めたとき,15
発熱,ノーシンピュア,ひどくはなっていないが、痛みや熱がひかないとき,3
発熱,ノーシンピュア,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,6
発熱,ノーシンピュア,痛みが我慢できなくなったとき・熱が高くなったとき,7
発熱,ノーシンピュア,その他,0
発熱,ナロンエース,痛くなりそうなとき・熱が出そうなとき,0
発熱,ナロンエース,痛くなったとき・熱が出始めたとき,8
発熱,ナロンエース,ひどくはなっていないが、痛みや熱がひかないとき,2
発熱,ナロンエース,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,6
発熱,ナロンエース,痛みが我慢できなくなったとき・熱が高くなったとき,13
発熱,ナロンエース,その他,0
発熱,リングルアイビー,痛くなりそうなとき・熱が出そうなとき,0
発熱,リングルアイビー,痛くなったとき・熱が出始めたとき,13
発熱,リングルアイビー,ひどくはなっていないが、痛みや熱がひかないとき,9
発熱,リングルアイビー,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,6
発熱,リングルアイビー,痛みが我慢できなくなったとき・熱が高くなったとき,19
